iter	Passed	Remaining
0	1	130
1	2	126
2	3	116
3	4	108
4	5	110
5	6	106
6	8	107
7	9	105
8	10	103
9	11	101
10	12	101
11	13	97
12	14	93
13	14	90
14	15	88
15	16	86
16	17	84
17	18	82
18	18	80
19	19	78
20	20	76
21	21	74
22	21	72
23	22	71
24	23	69
25	24	68
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	32	56
37	33	54
38	34	53
39	35	52
40	35	51
41	36	49
42	36	49
43	37	48
44	38	46
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
