iter	Passed	Remaining
0	146	146087
1	148	73951
2	149	49799
3	153	38253
4	158	31461
5	161	26690
6	164	23278
7	166	20632
8	168	18561
9	169	16823
10	172	15499
11	174	14366
12	177	13478
13	179	12666
14	181	11887
15	181	11189
16	182	10580
17	183	10036
18	185	9592
19	188	9243
20	189	8842
21	190	8476
22	191	8136
23	192	7836
24	193	7554
25	194	7290
26	195	7039
27	196	6808
28	196	6593
29	197	6393
30	198	6203
31	199	6026
32	199	5859
33	200	5707
34	201	5559
35	202	5420
36	204	5314
37	205	5191
38	205	5074
39	206	4961
40	207	4855
41	208	4761
42	209	4663
43	210	4571
44	211	4480
45	211	4395
46	212	4313
47	213	4233
48	214	4157
49	214	4084
50	215	4012
51	216	3947
52	217	3882
53	218	3825
54	219	3769
55	220	3711
56	220	3653
57	221	3600
58	222	3551
59	223	3498
60	224	3448
61	224	3403
62	225	3353
63	226	3310
64	227	3269
65	227	3225
66	228	3185
67	229	3145
68	230	3107
69	231	3078
70	232	3042
71	233	3006
72	234	2971
73	234	2938
74	235	2905
75	236	2872
76	236	2840
77	237	2812
78	238	2782
79	239	2753
80	239	2722
81	240	2696
82	241	2663
83	241	2638
84	242	2613
85	243	2587
86	244	2564
87	245	2539
88	246	2520
89	247	2498
90	248	2477
91	249	2458
92	249	2437
93	250	2416
94	251	2397
95	252	2377
96	253	2357
97	254	2340
98	255	2321
99	255	2301
100	256	2283
101	257	2266
102	258	2250
103	259	2233
104	259	2215
105	260	2199
106	261	2182
107	262	2167
108	263	2153
109	264	2139
110	265	2124
111	266	2109
112	266	2095
113	267	2080
114	268	2068
115	269	2054
116	270	2038
117	271	2027
118	272	2015
119	273	2002
120	273	1988
121	274	1974
122	275	1961
123	276	1951
124	277	1942
125	278	1932
126	279	1920
127	280	1911
128	281	1899
129	282	1888
130	283	1877
131	284	1868
132	285	1859
133	286	1848
134	286	1837
135	287	1827
136	288	1817
137	289	1808
138	290	1800
139	291	1792
140	292	1783
141	293	1773
142	294	1764
143	295	1755
144	296	1745
145	296	1735
146	297	1728
147	298	1720
148	299	1711
149	300	1702
150	300	1692
151	301	1683
152	302	1675
153	303	1667
154	304	1658
